NUMBER_KEY,SUB_TYPE_DESC,ENTERED_DATE,DATA_STATUS_DISPLAY,LATITUDE,LONGITUDE,address,parcel_id
PSC2107557,"dumping, prv prop <2500 sq ft",2021-08-04T00:00:00Z,Closed - Transferred to another Agency,39.1897069898221,-84.5560838312539,5491 GLENVIEW AV,NA
PSC2107592,"dumping, prv prop <2500 sq ft",2021-08-04T00:00:00Z,Closed - Transferred to another Agency,39.1623317595816,-84.5681064015239,2170 WEST FORK RD,NA
B202104309,res code standard,2021-08-03T00:00:00Z,Closed - Orders Reissued,39.1994238933943,-84.5458111749136,5914 HAMILTON AV,NA
B202104305,res code standard,2021-08-03T00:00:00Z,Closed,39.1488290187764,-84.5835352243401,2568 WESTWOOD NORTHERN BLVD,NA
B202104310,tree on priv prop standard,2021-08-03T00:00:00Z,Intake - New Case,39.1133298469994,-84.4370527937292,3640 EASTERN AV,NA
PSC2107453,"tall grass/weeds, private prop",2021-08-03T00:00:00Z,Abated by the Owner,39.1168201817505,-84.577245843442,3801 W LIBERTY ST,NA
B202102754,parking in yard stndrd,2021-08-03T00:00:00Z,Closed,39.1509753876618,-84.5875775324241,2739 MONTANA AV,NA
PSC2107495,"litter, private property",2021-08-03T00:00:00Z,Abated by the Owner,39.1157502565703,-84.5787125534681,1244 1ST AV,NA
B202104304,res code standard,2021-08-03T00:00:00Z,Closed,39.15134707667,-84.4841327774293,918 BURTON AV,NA
B202104303,tree on priv prop standard,2021-08-03T00:00:00Z,Closed - Orders Reissued,39.1147178525263,-84.4356703409878,3616 COLUMBIA PKWY,NA
PSA2101324,"tall grass/weeds, private prop",2021-08-03T00:00:00Z,NA,39.1166919418024,-84.5157651863813,67 E CLIFTON AV,NA
PSC2107502,"tall grass/weeds, private prop",2021-08-03T00:00:00Z,Abated by the Owner,39.1063054338045,-84.5065777391342,824 BROADWAY,NA
PSC2107487,"tall grass/weeds, private prop",2021-08-03T00:00:00Z,NA,39.1612338349901,-84.5060010463869,42 W MITCHELL AV,NA
B202104158,res code standard,2021-07-21T00:00:00Z,Closed,39.109124653698,-84.5967732999689,4434 W 8TH ST,NA
B202102712,parking in yard stndrd,2021-07-20T00:00:00Z,Closed,39.1201285935039,-84.5783730550022,1708 1ST AV,NA
BC20210272,elevator code enforcement,2021-07-20T00:00:00Z,Reinspection,39.1008569902802,-84.5130521539812,441 VINE ST,NA
B202104131,res code standard,2021-07-20T00:00:00Z,Closed,39.1134697523391,-84.514227481431,1614 WALNUT ST,NA
BC20210274,comm code standard,2021-07-20T00:00:00Z,NA,39.1238316547915,-84.5903857532262,1945 DUNHAM WY,NA
B202104141,res code standard,2021-07-20T00:00:00Z,Closed,39.1098588464816,-84.5061221470836,513 E 12TH ST,NA
PSC2107515,"litter, private property",2021-08-03T00:00:00Z,Closed - Transferred to another Agency,39.1009658111066,-84.5307384098222,619 LINN ST,NA
PSA2101323,"tall grass/weeds, private prop",2021-08-03T00:00:00Z,NA,39.1917075026639,-84.456601778931,7167 EASTLAWN DR,NA
JV21000594,junk veh on private prop,2021-08-03T00:00:00Z,Closed,39.124609318352,-84.5510072444926,1665 WESTWOOD AV,NA
BAC2100225,"dumping, illegal dumping",2021-08-03T00:00:00Z,NA,39.229400064596,-84.3725196682399,5011 COOPER RD,NA
B202104307,res code standard,2021-08-03T00:00:00Z,Closed,39.2029838608899,-84.5393741731088,1312 W NORTH BEND RD,NA
B202102750,run business fm res stndrd,2021-08-03T00:00:00Z,Closed,39.1981105987366,-84.4840064742474,239 W NORTH BEND RD,NA
B202102753,run business fm res stndrd,2021-08-03T00:00:00Z,Final Notice,39.1963216238782,-84.4813406706926,127 W 72ND ST,NA
BC20210294,comm code standard,2021-08-02T00:00:00Z,Closed,39.1137599376019,-84.5763693124131,3801 GLENWAY AV,NA
B202104284,res code standard,2021-08-02T00:00:00Z,Orders Issued,39.170574111326,-84.4381613655539,2841 CYPRESS WY,NA
PSA2101318,"tall grass/weeds, private prop",2021-08-02T00:00:00Z,Abated by the Owner,39.1241817786357,-84.4936616064455,2355 CONCORD ST,NA
PSA2101313,"tall grass/weeds, private prop",2021-08-02T00:00:00Z,NA,39.1713015947167,-84.5161531661681,4544 NORTH EDGEWOOD AV,NA
PSA2101314,"tall grass/weeds, private prop",2021-08-02T00:00:00Z,NA,39.1714705081096,-84.5160733360975,4548 NORTH EDGEWOOD AV,NA
PSC2107407,"tall grass/weeds, private prop",2021-08-02T00:00:00Z,NA,39.1055469150235,-84.5647625454057,749 PURCELL AV,NA
SYCC210207,302.1 litter/refuse accumulati,2021-08-02T00:00:00Z,NA,39.2907305640061,-84.3519910711224,12135 2ND AV,NA
B202104133,res code standard,2021-07-20T00:00:00Z,Closed,39.2187165002071,-84.4899161611571,10203 CONSTITUTION DR,NA
BAR2100119,barricade residential,2021-07-20T00:00:00Z,Building Secured by the Owner,39.1173545082612,-84.5802230596801,4022 W LIBERTY ST,NA
PSA2101220,"tall grass/weeds, private prop",2021-07-20T00:00:00Z,Assigned to a Cleaning Crew,39.1488453481674,-84.4943681102764,3610 WASHINGTON AV,NA
B202104125,res code standard,2021-07-19T00:00:00Z,Closed,39.1534383862902,-84.5847053551876,2666 MONTANA AV,NA
PSC2106806,"litter, private property",2021-07-19T00:00:00Z,Closed - Transferred to another Agency,39.2065329911734,-84.4743747584656,8 DE CAMP AV,NA
B202104103,res code standard,2021-07-19T00:00:00Z,Closed,39.2173726076765,-84.4798551259701,6301 MEYERS DR,NA
PSC2106805,"tall grass/weeds, private prop",2021-07-19T00:00:00Z,Closed - Transferred to another Agency,39.2060766799601,-84.4742383869027,7956 VINE ST,NA
PSC2106804,"litter, private property",2021-07-19T00:00:00Z,Closed - Transferred to another Agency,39.2124937884151,-84.4699318836802,88 E GALBRAITH RD,NA
BC20210271,comm code standard,2021-07-19T00:00:00Z,Closed,39.1881779945813,-84.4159911948977,6541 MONTGOMERY RD,NA
B202102704,parking in yard stndrd,2021-07-19T00:00:00Z,Closed,39.1170138559466,-84.5756333615593,3774 W LIBERTY ST,NA
BC20210270,fire request for insp -com bld,2021-07-19T00:00:00Z,Closed,39.1387223973807,-84.5381097169731,3055 COLERAIN AV,NA
B202104104,hole on private prop hazard,2021-07-19T00:00:00Z,Closed,39.1475587779304,-84.437593856445,2853 MADISON RD,NA
